"ID","ACTIVE","YEAR","COUNTRY_ESP","COUNTRY_ENG","SECTOR_ESP","SECTOR_ENG","STATUS_ESP","STATUS_ENG","COUNTRY","SECTOR","STATUS"
858,"YES",2018,"Argentina","Argentina","Gestión de patrimonio","Wealth Management","Listos para escalar","Ready to scale",1,5,5
859,"YES",2018,"México","Mexico","Préstamos","Lending","Listos para escalar","Ready to scale",11,8,5
860,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",3,8,6
861,"YES",2018,"México","Mexico","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",11,11,6
862,"YES",2018,"Chile","Chile","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",4,3,4
863,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",3,7,5
864,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",3,5,6
865,"YES",2018,"México","Mexico","Financiamiento colectivo","Crowdfunding","Lanzado","Launched",11,2,4
866,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",3,10,6
867,"YES",2018,"Colombia","Colombia","Préstamos","Lending","Versión beta","Beta version",5,8,3
868,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Lanzado","Launched",3,8,4
869,"YES",2018,"Argentina","Argentina","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",1,4,6
870,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Demo/Prototipo","Demo/Prototipo",11,7,2
871,"YES",2018,"México","Mexico","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",11,3,4
872,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Demo/Prototipo","Demo/Prototipo",3,7,2
873,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",1,7,6
874,"YES",2018,"México","Mexico","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",11,3,6
875,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",3,3,5
876,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",3,8,6
877,"YES",2018,"Chile","Chile","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",4,8,6
878,"YES",2018,"Colombia","Colombia","Préstamos","Lending","Versión beta","Beta version",5,8,3
879,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",11,7,6
880,"YES",2018,"Perú","Peru","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",15,7,5
881,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Lanzado","Launched",3,7,4
882,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
883,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",3,5,6
884,"YES",2018,"Chile","Chile","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",4,3,6
885,"YES",2018,"Uruguay","Uruguay","Pagos y remesas","Payments & Remittances","Lanzado","Launched",17,7,4
886,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",11,4,6
887,"YES",2018,"Rep. Dominicana","Dominican Republic","Gestión de finanzas personales","Personal Financial Management","Lanzado","Launched",16,4,4
888,"YES",2018,"Perú","Peru","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Versión beta","Beta version",15,6,3
889,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",3,5,6
890,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Lanzado","Launched",1,7,4
891,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",3,7,3
892,"YES",2018,"Colombia","Colombia","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Crecimiento y expansión","Growth & expansion",5,9,6
893,"YES",2018,"Perú","Peru","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Crecimiento y expansión","Growth & expansion",15,9,6
894,"YES",2018,"Brasil","Brazil","Financiamiento colectivo","Crowdfunding","Crecimiento y expansión","Growth & expansion",3,2,6
895,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Lanzado","Launched",11,4,4
896,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Listos para escalar","Ready to scale",11,4,5
897,"YES",2018,"Argentina","Argentina","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",1,11,6
898,"YES",2018,"México","Mexico","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",11,11,6
899,"YES",2018,"Chile","Chile","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",4,4,6
900,"YES",2018,"Argentina","Argentina","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Versión beta","Beta version",1,11,3
901,"YES",2018,"Colombia","Colombia","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",5,11,6
902,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
903,"YES",2018,"Ecuador","Ecuador","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",7,3,4
904,"YES",2018,"Venezuela","Venezuela","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",18,7,3
905,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",11,7,3
906,"YES",2018,"México","Mexico","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",11,10,6
907,"YES",2018,"México","Mexico","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",11,8,6
908,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",1,7,5
909,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",1,7,6
910,"YES",2018,"México","Mexico","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Listos para escalar","Ready to scale",11,9,5
911,"YES",2018,"Brasil","Brazil","Digital Banks","Digital Banks","Versión beta","Beta version",3,1,3
912,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",3,10,6
913,"YES",2018,"México","Mexico","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Listos para escalar","Ready to scale",11,6,5
914,"YES",2018,"Colombia","Colombia","Seguros","Insurance","Lanzado","Launched",5,10,4
915,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Listos para escalar","Ready to scale",3,10,5
916,"YES",2018,"Colombia","Colombia","Seguros","Insurance","Listos para escalar","Ready to scale",5,10,5
917,"YES",2018,"Chile","Chile","Seguros","Insurance","Listos para escalar","Ready to scale",4,10,5
918,"YES",2018,"Ecuador","Ecuador","Seguros","Insurance","Versión beta","Beta version",7,10,3
919,"YES",2018,"Perú","Peru","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",15,10,6
920,"YES",2018,"Perú","Peru","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",15,11,6
921,"YES",2018,"Colombia","Colombia","Préstamos","Lending","Listos para escalar","Ready to scale",5,8,5
922,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",11,7,6
923,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",3,7,5
924,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Demo/Prototipo","Demo/Prototipo",11,7,2
925,"YES",2018,"Argentina","Argentina","Financiamiento colectivo","Crowdfunding","Crecimiento y expansión","Growth & expansion",1,2,6
926,"YES",2018,"Colombia","Colombia","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",5,11,6
927,"YES",2018,"México","Mexico","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",11,10,6
928,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",5,7,3
929,"YES",2018,"Argentina","Argentina","Préstamos","Lending","Listos para escalar","Ready to scale",1,8,5
930,"YES",2018,"Uruguay","Uruguay","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",17,7,5
931,"YES",2018,"Argentina","Argentina","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Listos para escalar","Ready to scale",1,11,5
932,"YES",2018,"Colombia","Colombia","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",5,3,6
933,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",3,3,4
934,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Listos para escalar","Ready to scale",3,8,5
935,"YES",2018,"Brasil","Brazil","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Versión beta","Beta version",3,11,3
936,"YES",2018,"México","Mexico","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Versión beta","Beta version",11,11,3
937,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",11,4,6
938,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Lanzado","Launched",11,4,4
939,"YES",2018,"Chile","Chile","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Crecimiento y expansión","Growth & expansion",4,11,6
940,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Lanzado","Launched",11,7,4
941,"YES",2018,"México","Mexico","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",11,3,4
942,"YES",2018,"Colombia","Colombia","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Listos para escalar","Ready to scale",5,9,5
