"ID","ACTIVE","YEAR","COUNTRY_ESP","COUNTRY_ENG","SECTOR_ESP","SECTOR_ENG","STATUS_ESP","STATUS_ENG","COUNTRY","SECTOR","STATUS"
1031,"YES",2018,"Uruguay","Uruguay","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",17,3,6
1032,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",11,7,5
1033,"YES",2018,"México","Mexico","Financiamiento colectivo","Crowdfunding","Versión beta","Beta version",11,2,3
1034,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",11,7,6
1035,"YES",2018,"Brasil","Brazil","Financiamiento colectivo","Crowdfunding","Crecimiento y expansión","Growth & expansion",3,2,6
1036,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Listos para escalar","Ready to scale",3,8,5
1037,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Lanzado","Launched",11,7,4
1038,"YES",2018,"Colombia","Colombia","Financiamiento colectivo","Crowdfunding","Crecimiento y expansión","Growth & expansion",5,2,6
1039,"YES",2018,"Colombia","Colombia","Financiamiento colectivo","Crowdfunding","Listos para escalar","Ready to scale",5,2,5
1040,"YES",2018,"Brasil","Brazil","Financiamiento colectivo","Crowdfunding","Lanzado","Launched",3,2,4
1041,"YES",2018,"Chile","Chile","Gestión de finanzas personales","Personal Financial Management","Demo/Prototipo","Demo/Prototipo",4,4,2
1042,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",3,7,5
